名称,英語名称
フィジー,Fiji
インド,India
インドネシア,Indonesia
韓国,South Korea
カンボジア,Cambodia
シンガポール,Singapore
スリランカ,Sri Lanka
タイ,Thailand
台湾,Taiwan
中国,China
フィリピン,Philippines
ベトナム,Vietnam
香港,Hong Kong
マレーシア,Malaysia
ミャンマー,Myanmar
モルディブ,Maldives
オーストラリア,Australia
クック諸島,Cook Islands
ニュージーランド,New Zealand
ニューカレドニア,
パラオ,Palau
ミクロネシア,Micronesia
アルバニア,Albania
アンドラ,Andorra
イギリス,United Kingdom
イタリア,Italy
エストニア,Estonia
オランダ,Netherlands
オーストリア,Austria
キプロス,Cyprus
北キプロス,N. Cyprus
ギリシャ,Greece
クロアチア,Croatia
コソボ,Kosovo
サンマリノ,San Marino
ジプラルタル,
スイス,Switzerland
スウェーデン,Sweden
スコットランド,
スペイン,Spain
スロバキア,Slovak Republic
スロベニア,Slovenia
セルビア,Serbia
チェコ,Czech Republic
デンマーク,Denmark
ドイツ,Germany
ノルウェー,Norway
ハンガリー,Hungary
バチカン,Vatican
フィンランド,Finland
フランス,France
ベルギー,Belgium
ボスニア・ヘルツェゴビナ,Bosnia and Herzegovina
ポルトガル,Portugal
ポーランド,Poland
マケドニア,FYR Macedonia
マルタ,Malta
モナコ,Monaco
モンテネグロ,Montenegro
ラトビア,Latvia
リトアニア,Lithuania
リヒテンシュタイン,Liechtenstein
ルクセンブルク,Luxembourg
ロシア,Russia
アラブ首長国連邦,United Arab Emirates
イスラエル,Israel
オマーン,Oman
バーレーン,Bahrain
ヨルダン,Jordan
エジプト,Egypt
セーシェル,Seychelles
ペルー,Peru
メキシコ,Mexico
アメリカ,United States
カナダ,Canada
